Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay,Chrome 65.0.3325.181,,2018-04-27 00:55:30,2018-04-27 00:55:32,2.002s,PASSED
"Statement - Autoit_Fileupload = ""C:\Autoit\File_upload.exe""",Chrome 65.0.3325.181,Run Autoit Script to handle Windows upload functionality,2018-04-27 00:55:32,2018-04-27 00:55:32,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(Autoit_Fileupload),Chrome 65.0.3325.181,,2018-04-27 00:55:32,2018-04-27 00:55:32,0.019s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 65.0.3325.181,,2018-04-27 00:55:32,2018-04-27 00:55:35,3.009s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-04-27 00:55:35,2018-04-27 00:55:35,0.017s,PASSED
waitForElementPresent,Chrome 65.0.3325.181,Wait for the image file to be loaded,2018-04-27 00:55:35,2018-04-27 00:55:35,0.038s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-27 00:55:35,2018-04-27 00:55:37,2.005s,PASSED
com.gmail.authentication.GmailAuthentication.GmailLogout,Chrome 65.0.3325.181,,2018-04-27 00:55:37,2018-04-27 00:56:12,35.411s,FAILED
,,,,,,
Test Cases/Gmail/TC - Compose And Send Email,Chrome 65.0.3325.181,,2018-04-27 00:56:12,2018-04-27 00:57:16,1m - 3.873s,FAILED
com.gmail.authentication.GmailAuthentication.GmailLogin,Chrome 65.0.3325.181,,2018-04-27 00:56:13,2018-04-27 00:56:22,8.999s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verrify the Email Compose Button,2018-04-27 00:56:22,2018-04-27 00:56:26,4.249s,PASSED
click,Chrome 65.0.3325.181,Click on the Compose Button,2018-04-27 00:56:26,2018-04-27 00:56:26,0.157s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify Recipients Field,2018-04-27 00:56:26,2018-04-27 00:56:27,1.192s,PASSED
sendKeys,Chrome 65.0.3325.181,Add the Recipient's Email address from Excel Data Source,2018-04-27 00:56:27,2018-04-27 00:56:28,0.906s,PASSED
sendKeys,Chrome 65.0.3325.181,Add the Subject of the email,2018-04-27 00:56:28,2018-04-27 00:56:29,1.169s,PASSED
sendKeys,Chrome 65.0.3325.181,Add Email content,2018-04-27 00:56:29,2018-04-27 00:56:30,0.808s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-27 00:56:30,2018-04-27 00:56:32,2.005s,PASSED
click,Chrome 65.0.3325.181,Click on the Send Button,2018-04-27 00:56:32,2018-04-27 00:56:32,0.199s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-27 00:56:32,2018-04-27 00:56:34,2.003s,PASSED
com.gmail.authentication.GmailAuthentication.GmailLogout,Chrome 65.0.3325.181,,2018-04-27 00:56:34,2018-04-27 00:57:16,41.864s,FAILED
