Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionTest,Chrome 65.0.3325.181,,2018-04-29 17:01:36,2018-04-29 17:03:18,1m - 41.982s,PASSED
,,,,,,
Test Cases/Gmail/TC - Login to Gmail,Chrome 65.0.3325.181,Gmail Login Screen,2018-04-29 17:01:36,2018-04-29 17:01:52,15.860s,PASSED
openBrowser,Chrome 65.0.3325.181,Open the Gmail URL,2018-04-29 17:01:37,2018-04-29 17:01:44,7.302s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-29 17:01:44,2018-04-29 17:01:46,1.273s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-04-29 17:01:46,2018-04-29 17:01:46,0.114s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify the Email Input field,2018-04-29 17:01:46,2018-04-29 17:01:46,0.124s,PASSED
sendKeys,Chrome 65.0.3325.181,Enter the email address,2018-04-29 17:01:46,2018-04-29 17:01:46,0.441s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-29 17:01:46,2018-04-29 17:01:48,2.055s,PASSED
click,Chrome 65.0.3325.181,Click on Next Button,2018-04-29 17:01:48,2018-04-29 17:01:48,0.196s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-04-29 17:01:48,2018-04-29 17:01:48,0.024s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,Verify Password Input Field,2018-04-29 17:01:48,2018-04-29 17:01:49,0.551s,PASSED
sendKeys,Chrome 65.0.3325.181,Add Password from Excel Datasource in Password Field,2018-04-29 17:01:49,2018-04-29 17:01:50,1.123s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-29 17:01:50,2018-04-29 17:01:52,2.007s,PASSED
click,Chrome 65.0.3325.181,Click on Next Button,2018-04-29 17:01:52,2018-04-29 17:01:52,0.151s,PASSED
,,,,,,
Test Cases/Gmail/TC - Logout from Gmail,Chrome 65.0.3325.181,,2018-04-29 17:01:52,2018-04-29 17:02:02,9.369s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-29 17:01:53,2018-04-29 17:01:55,2.010s,PASSED
click,Chrome 65.0.3325.181,Click on the Account Button,2018-04-29 17:01:55,2018-04-29 17:01:57,1.986s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-29 17:01:57,2018-04-29 17:01:59,2.003s,PASSED
click,Chrome 65.0.3325.181,Click on the Signout button,2018-04-29 17:01:59,2018-04-29 17:01:59,0.207s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-29 17:01:59,2018-04-29 17:02:01,2.004s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-29 17:02:01,2018-04-29 17:02:02,0.786s,PASSED
,,,,,,
